,Txn Date,Date,Ref No,Withdrawls,Lodgements,Balance,Description
10,11/02/2021,11/02/2021,099ZTRF210420M3K,266.67,0,"937,217.54",Main Interest Liquidation 099ILAT20346086Y 
11,11/02/2021,11/02/2021,099ZTRF210420M3I,3333.33,0,"933,884.21",Principal Liquidation 099ILAT20346086Y 
12,11/02/2021,11/02/2021,098WNVI210422axj,4000.00,0,"929,884.21",POS/WEB PMT EZEAKA DANIEL NDUBUI LANG 00NG
13,11/02/2021,11/02/2021,099MJKL21042GwHe,200.00,0,"929,684.21",901Airtime- 2348031346306 USSD132575455947282173
14,12/02/2021,11/02/2021,099MJKL21042IHb4,200.00,0,"929,484.21",901Airtime- 2348031346306 USSD132575505514775284
15,12/02/2021,11/02/2021,099MJKL210430QEl,300.00,0,"929,184.21",901Airtime- 2348031346306 USSD132575555897932946
16,12/02/2021,12/02/2021,099MJKL210430gLM,23026.88,0,"906,157.33",TRF/upkeep/FRM KPONGETTE  INYANG TO INYANG
17,12/02/2021,12/02/2021,099MJKL2104389Sy,200.00,0,"905,957.33",901Airtime- 2348031346306 USSD132576038900146681
18,12/02/2021,12/02/2021,071ZSTM2104301QT,50.00,0,"905,907.33",FGN STAMP DUTY
19,15/02/2021,12/02/2021,099MJKL21043JeQX,200.00,0,"905,707.33",901Airtime- 2348031346306 USSD132576409844567952
20,15/02/2021,15/02/2021,099MJKL21046INB5,500.00,0,"905,207.33",901Airtime- 2347046946265 USSD132577454081006292
21,15/02/2021,15/02/2021,099MJKL21046KGhT,200.00,0,"905,007.33",901Airtime- 2348031346306 USSD132577629142515638
22,15/02/2021,15/02/2021,099MJKL21046L9jx,100.00,0,"904,907.33",901Airtime- 2348031346306 USSD132577669408357997
23,15/02/2021,15/02/2021,099MJKL21046LPZJ,50.00,0,"904,857.33",901Airtime- 2348031346306 USSD132577680771256592
24,16/02/2021,16/02/2021,099MNIP210470N7Y,0,2500.00,"907,357.33",OSO ANUOLUWAPO IYABODE/TRF BO OSO 
25,16/02/2021,16/02/2021,098WNVI210470ENv,2500.00,0,"904,857.33",POS/WEB PMT QTRCWIEPR/45063168285/2104714200 
26,17/02/2021,17/02/2021,099MNIP2104839An,0,40000.00,"944,857.33",UNIVEL CITY ENTERPRISES/UIP IFO KPONGETTE  
27,17/02/2021,17/02/2021,099MJKL21048DelO,24726.88,0,"920,130.45",TRF/refund folami/FRM KPONGETTE  INYANG TO 
28,17/02/2021,17/02/2021,099MJKL21048EKTf,1200.00,0,"918,930.45",901Airtime- 2348031346306 USSD132580578679030699
